Atomic Mass Adjustment data 
"The Ame2016 atomic mass evaluation (I)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu
"The Ame2016 atomic mass evaluation (II)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu

NUM	ELEMENT	N	Z	MASS_EXCESS	ME_unc
1063	I	65	53	-80971.048	19.76
1064	Xe	64	54	-78079.057	10.378
1065	Cs	63	55	-68409.367	12.753
1066	Rh	74	45	-62822.794	9.315
1067	Pd	73	46	-71407.902	8.245
1068	Ag	72	47	-78645.765	14.703
1069	Cd	71	48	-83977.068	37.695
1070	In	70	49	-87699.281	7.307
1071	Sn	69	50	-90065.022	0.725
1072	Sb	68	51	-89474.18	7.701
1073	Te	67	52	-87181.18	7.957
1074	I	66	53	-83765.53	27.945
1075	Xe	65	54	-78794.413	10.378
1076	Cs	64	55	-72305.051	13.94
1077	Ba	63	56	-64590.086	200.269
1078	Pd	74	46	-70280.05	2.291
1079	Ag	73	47	-75651.502	4.471
1080	Cd	72	48	-83957.354	3.726
1081	In	71	49	-85728.369	40.01
1082	Sn	70	50	-91098.369	0.896
1083	Sb	69	51	-88417.761	7.196
1084	Te	68	52	-89367.987	3.085
1085	I	67	53	-83752.987	15.314
1086	Xe	66	54	-82172.423	11.817
1087	Cs	65	55	-73888.639	9.97
1088	Ba	64	56	-68888.639	300.166
1089	Rh	76	45	-56250.128	619.444
1090	Pd	75	46	-66182.329	3.353
1091	Ag	74	47	-74402.821	12.109
1092	Cd	73	48	-81073.826	1.942
1093	In	72	49	-85835.974	27.414
1094	Sn	71	50	-89197.265	0.955
1095	Sb	70	51	-89600.321	2.582
1096	Te	69	52	-88545.502	25.85
1097	I	68	53	-86251.449	5.356
1098	Xe	67	54	-82480.986	10.243
1099	Cs	66	55	-77102.331	14.29
1100	Ba	65	56	-70744.837	141.898
1101	Pd	76	46	-64616.161	19.561
1102	Ag	75	47	-71106.108	38.191
1103	Cd	74	48	-80612.374	2.299
1104	In	73	49	-83572.741	50.057
1105	Sn	72	50	-89941.333	2.395
1106	Sb	71	51	-88335.37	2.578
1107	Te	70	52	-90314.46	1.507
1108	I	69	53	-86080.46	5.222
1109	Xe	68	54	-85354.977	11.111
1110	Cs	67	55	-78144.759	33.687
1111	Ba	66	56	-74608.944	27.945
1112	Pd	77	46	-60429.742	789.441
1113	Ag	76	47	-69548.078	30.739
1114	Cd	75	48	-77414.181	2.696
1115	In	74	49	-83430.353	19.827
1116	Sn	73	50	-87816.181	2.416
1117	Sb	72	51	-89224.069	1.506
1118	Te	71	52	-89172.156	1.505
1119	I	70	53	-87943.727	3.74
1120	Xe	69	54	-85248.701	9.537
1121	Cs	68	55	-81043.646	12.109
1122	Ba	67	56	-75654.953	12.109
1123	Ag	77	47	-66200.134	251.503
1124	Cd	76	48	-76701.672	2.995
1125	In	75	49	-80870.201	30.572
1126	Sn	74	50	-88234.193	1.014
1127	Sb	73	51	-87620.248	1.507
1128	Te	72	52	-90525.321	1.502
1129	I	71	53	-87365.734	2.39
1130	Xe	70	54	-87661.421	1.793
1131	Cs	69	55	-81731.334	8.304
1132	Ba	68	56	-79089.775	12.497
1133	La	67	57	-70258.61	56.669
1134	Ag	78	47	-64519.932	433.145
1135	Cd	77	48	-73348.095	2.885
1136	In	76	49	-80476.805	27.023
1137	Sn	75	50	-85896.376	1.033
1138	Sb	74	51	-88256.274	2.599
1139	Te	73	52	-89022.974	1.502
1140	I	72	53	-88837.204	1.504
1141	Xe	71	54	-87193.381	1.836
1142	Cs	70	55	-84087.95	7.744
1143	Ba	69	56	-79668.965	10.992
1144	La	68	57	-73759.484	25.997
1145	Cd	78	48	-72256.802	2.476
1146	In	77	49	-77772.908	26.921
1147	Sn	76	50	-86015.24	10.447
1148	Sb	75	51	-86393.24	31.767
1149	Te	74	52	-90065.348	1.504
1150	I	73	53	-87911.318	3.809
1151	Xe	72	54	-89146.962	3.5
1152	Cs	71	55	-84350.829	10.401
1153	Ba	70	56	-82669.902	12.497
1154	La	69	57	-74973.468	90.508
1155	Ce	68	58	-70820.558	27.945
1156	Cd	79	48	-68747.402	12.109
1157	In	78	49	-76896.184	21.157
1158	Sn	77	50	-83470.803	10.057
1159	Sb	76	51	-86699.477	5.126
1160	Te	75	52	-88281.678	1.514
1161	I	74	53	-88983.909	3.647
1162	Xe	73	54	-88321.56	4.11
1163	Cs	72	55	-86240.154	5.578
1164	Ba	71	56	-82817.944	11.357
1165	La	70	57	-77896.108	26
1166	Ce	69	58	-71979.336	28.876
1167	Cd	80	48	-67241.89	7.244
1168	In	79	49	-74145.941	153.479
1169	Sn	78	50	-83362.008	17.66
1170	Sb	77	51	-84630.286	19.119
1171	Te	76	52	-88993.716	0.866
1172	I	75	53	-87738.724	3.647
1173	Xe	74	54	-89860.298	1.061
1174	Cs	73	55	-85931.581	5.443
1175	Ba	72	56	-85378.497	5.195
1176	La	71	57	-78625.431	54.448
1177	Ce	70	58	-75533.917	27.945
1178	Pr	69	59	-66330.757	29.808
1179	Cd	81	48	-63058.046	16.767
1180	In	80	49	-72837.72	2.693
1181	Sn	79	50	-80590.903	17.277
1182	Sb	78	51	-84629.307	21.231
1183	Te	77	52	-87004.807	0.869
1184	I	76	53	-88507.125	3.168
1185	Xe	75	54	-88696.05896	0.00537
1186	Cs	74	55	-87499.246	4.555
1187	Ba	73	56	-85063.198	10.577
1188	La	72	57	-81324.573	21.351
1189	Ce	71	58	-76287.496	27.945
1190	Pr	70	59	-69773.558	29.808
1191	Cd	82	48	-61117.589	22.356
1192	In	81	49	-69883.206	38.046
1193	Sn	80	50	-80132.206	1.873
1194	Sb	79	51	-82285.676	14.212
1195	Te	78	52	-87352.949	0.011
1196	I	77	53	-86936.138	3.168
1197	Xe	76	54	-89880.463	0.009
1198	Cs	75	55	-86899.743	8.357
1199	Ba	74	56	-87261.544	2.553
1200	La	73	57	-81627.366	25.946
1201	Ce	72	58	-79422.905	27.945
1202	Pr	71	59	-71175.457	64.273
1203	Nd	70	60	-66596.232	27.945
1204	Cd	83	48	-55218.965	102.464
1205	In	82	49	-68025.03	2.701
1206	Sn	81	50	-77264.571	3.621
1207	Sb	80	51	-81981.401	2.084
1208	Te	79	52	-85211.012	0.061
1209	I	78	53	-87442.71	0.605
1210	Xe	77	54	-88413.558	0.009
1211	Cs	76	55	-88058.786	4.974
1212	Ba	75	56	-86683.731	2.569
1213	La	74	57	-83769.256	27.945
1214	Ce	73	58	-79708.44	32.802
1215	Pr	72	59	-74300.656	46.995
1216	Nd	71	60	-67768.033	27.517
1217	In	83	49	-62411.542	60.033
1218	Sn	82	50	-76546.542	1.976
1219	Sb	81	51	-79635.271	2.467
1220	Te	80	52	-85188.186	3.486
1221	I	79	53	-85703.49	4.065
1222	Xe	78	54	-89278.96179	0.00515
1223	Cs	77	55	-87152.681	1.036
1224	Ba	76	56	-88435.017	1.054
1225	La	75	57	-83723.65	36.359
1226	Ce	74	58	-82470.896	20.442
1227	Pr	73	59	-75227.456	28.876
1228	Nd	72	60	-71425.807	24.205
1229	Sn	83	50	-70873.88	1.904
1230	Sb	82	51	-78923.503	3.128
1231	Te	81	52	-82937.122	2.066
1232	I	80	53	-85858.26	6.427
1233	Xe	79	54	-87643.571	2.4
1234	Cs	78	55	-88070.931	0.008
1235	Ba	77	56	-87553.613	0.992
1236	La	76	57	-85494.383	27.945
1237	Ce	75	58	-82418.214	16.354
1238	Pr	74	59	-77937.581	12.497
1239	Nd	73	60	-72332.372	46.575
1240	Pm	72	61	-65407.646	50.301
1241	Sn	84	50	-66433.748	3.167
1242	Sb	83	51	-74020.542	1.705
1243	Te	82	52	-82533.741	2.746
1244	I	81	53	-84043.429	4.857
1245	Xe	80	54	-88125.822	0.009
1246	Cs	79	55	-86891.154	0.016
1247	Ba	78	56	-88949.853	0.304
1248	La	77	57	-85218.65	19.93
1249	Ce	76	58	-84832.889	20.387
1250	Pr	75	59	-78527.991	20.316
1251	Nd	74	60	-75646.432	11.817
1252	Pm	73	61	-66738.751	57.753
1253	Sn	85	50	-60632.244	3.074
1254	Sb	84	51	-69690.323	2.64
1255	Te	83	52	-77728.78	1.722
1256	I	82	53	-83779.145	2.061
1257	Xe	81	54	-86413.151	3.72
1258	Cs	80	55	-87581.643	0.992
1259	Ba	79	56	-87850.498	0.306
1260	La	78	57	-86643.317	9.434
1261	Ce	77	58	-84616.171	10.267
1262	Pr	76	59	-80935.861	11.817
1263	Nd	75	60	-76213.609	19.128
1264	Pm	74	61	-70052.075	75.451
1265	Sm	73	62	-62857.215	154.628
1266	Sb	85	51	-64506.88	5.83
1267	Te	84	52	-74425.269	2.281
1268	I	83	53	-79545.214	14.188
1269	Xe	82	54	-86429.159	0.007
1270	Cs	81	55	-86338.697	1.882
1271	Ba	80	56	-88886.921	0.306
1272	La	79	57	-86037.479	53.171
1273	Ce	78	58	-86508.372	0.408
1274	Pr	77	59	-81340.355	11.455
1275	Nd	76	60	-79199.287	11.817
1276	Pm	75	61	-71169.915	69.073
1277	Sm	74	62	-66810.89	12.497
1278	Sb	86	51	-60060.384	52.164
1279	Te	85	52	-69303.753	2.1
1280	I	84	53	-76356.258	8.383
1281	Xe	83	54	-82383.404	0.103
1282	Cs	82	55	-86545.606	0.358
1283	Ba	81	56	-87721.235	0.314
1284	La	80	57	-87140.688	1.659
1285	Ce	79	58	-85918.588	0.437
1286	Pr	78	59	-83201.693	8.137
1287	Nd	77	60	-79584.567	11.737
1288	Pm	76	61	-74072.848	13.041
1289	Sm	75	62	-68026.525	42.395
1290	Eu	74	63	-60145.895	4.378
1291	Sb	87	51	-54220.403	1064.232
1292	Te	86	52	-65695.985	3.787
1293	I	85	53	-71979.9	5.962
1294	Xe	84	54	-79972.233	2.804
1295	Cs	83	55	-82886.937	9.159
1296	Ba	82	56	-88261.638	0.317
1297	La	81	57	-86519.18	3.188
1298	Ce	80	58	-87570.922	4.931
1299	Pr	79	59	-83133.922	11.15
1300	Nd	78	60	-82018.31	11.601
1301	Pm	77	61	-74940.483	27.739
1302	Sm	76	62	-71497.762	11.817
1303	Eu	75	63	-61749.669	27.945
1304	Te	87	52	-60205.072	3.54
1305	I	86	53	-68470.954	4.005
1306	Xe	85	54	-75644.576	2.142
1307	Cs	84	55	-80700.921	3.14
1308	Ba	83	56	-84913.751	0.319
1309	La	82	57	-87226.212	2.009
1310	Ce	81	58	-86947.862	7.23
1311	Pr	80	59	-84818.798	7.809
1312	Nd	79	60	-82013.942	27.6
1313	Pm	78	61	-77500.481	13.593
1314	Sm	77	62	-72380.219	10.884
1315	Eu	76	63	-65398.042	13.151
1316	Te	88	52	-56576.228	62.41
1317	I	87	53	-63606.213	12.109
1318	Xe	86	54	-72986.451	2.329
1319	Cs	85	55	-77050.105	8.201
1320	Ba	84	56	-83269.354	7.933
1321	La	83	57	-84315.871	2.009
1322	Ce	82	58	-88076.089	1.596
1323	Pr	81	59	-84688.089	6.209
1324	Nd	80	60	-84258.912	3.447
1325	Pm	79	61	-78213.712	24.246
1326	Sm	78	62	-75455.935	12.497
1327	Eu	77	63	-66985.935	51.538
1328	Gd	76	64	-61782.271	27.945
1329	Tb	75	65	-50482.271	800.488
1330	I	88	53	-59926.657	15.835
1331	Xe	87	54	-68197.299	2.888
1332	Cs	86	55	-74477.523	9.195
1333	Ba	85	56	-79732.626	5.319
1334	La	84	57	-82931.636	4.219
1335	Ce	83	58	-85432.916	1.597
1336	Pr	82	59	-86015.644	1.665
1337	Nd	81	60	-84192.63	3.265
1338	Pm	80	61	-80522.921	13.972
1339	Sm	79	62	-75933.909	8.539
1340	Eu	78	63	-69925.629	12.639
1341	Gd	77	64	-63224.224	19.76
1342	Tb	76	65	-54540.837	105.259
1343	I	89	53	-54769.984	374.461
1344	Xe	88	54	-65229.639	2.701
1345	Cs	87	55	-70514.55	7.067
1346	Ba	86	56	-77842.264	5.92
1347	La	85	57	-80024.227	6.309
1348	Ce	84	58	-84533.188	2.509
1349	Pr	83	59	-83787.476	1.665
1350	Nd	82	60	-85949.98	1.368
1351	Pm	81	61	-81142.044	23.597
1352	Sm	80	62	-78986.47	3.079
1353	Eu	79	63	-71313.47	30.158
1354	Gd	78	64	-66959.515	27.945
1355	Tb	77	65	-56559.515	700.558
1356	Xe	89	54	-60202.873	4.657
1357	Cs	88	55	-67675.509	7.573
1358	Ba	87	56	-73937.197	6.756
1359	La	86	57	-78171.515	7.33
1360	Ce	85	58	-81606.671	2.508
1361	Pr	84	59	-83068.246	1.897
1362	Nd	83	60	-84002.234	1.367
1363	Pm	82	61	-82960.651	2.996
1364	Sm	81	62	-79517.152	2.804
1365	Eu	80	63	-74241.3	10.986
1366	Gd	79	64	-68231.3	200.301
1367	Tb	78	65	-60419.183	51.232
1368	Dy	77	66	-52168.941	13.041
1369	Xe	90	54	-56872.293	5.31
1370	Cs	89	55	-63271.353	20.132
1371	Ba	88	56	-71767.121	7.136
1372	La	87	57	-74849.652	12.937
1373	Ce	86	58	-80431.87	2.885
1374	Pr	85	59	-80750.517	2.762
1375	Nd	84	60	-83747.957	1.367
1376	Pm	83	61	-81416.093	2.964
1377	Sm	82	62	-81965.535	1.554
1378	Eu	81	63	-75619.133	10.789
1379	Gd	80	64	-71759.504	27.945
1380	Tb	79	65	-62368.181	27.945
1381	Dy	78	66	-56570.083	7.173
1382	Ho	77	67	-44609.513	8.477
1383	Xe	91	54	-51493.329	11.178
1384	Cs	90	55	-60054.415	9.067
1385	Ba	89	56	-67516.176	8.477
1386	La	88	57	-72835.317	12.269
1387	Ce	87	58	-77067.022	33.902
1388	Pr	86	59	-79625.94	7.169
1389	Nd	85	60	-81431.951	1.384
1390	Pm	84	61	-81267.474	2.859
1391	Sm	83	62	-80651.318	1.578
1392	Eu	82	63	-77991.507	3.106
1393	Gd	81	64	-72926.32	19.709
1394	Tb	80	65	-66388.411	109.174
1395	Dy	79	66	-58242.599	6.52
1396	Ho	78	67	-49120.105	7.452
1397	Xe	92	54	-47954.943	24.219
1398	Cs	91	55	-55310.372	2.893
1399	Ba	90	56	-64947.086	20.863
1400	La	89	57	-69050.283	33.616
1401	Ce	88	58	-75635.389	16.306
1402	Pr	87	59	-76681.006	34.816
1403	Nd	86	60	-80925.867	1.386
1404	Pm	85	61	-79454.309	4.308
1405	Sm	84	62	-80996.309	3.092
1406	Eu	83	63	-77117.541	6.026
1407	Gd	82	64	-76085.783	4.108
1408	Tb	81	65	-67763.61	44.862
1409	Dy	80	66	-62554.918	6.695
1410	Ho	79	67	-51238.219	6.587
1411	Er	78	68	-44322.012	6.705
1412	Cs	92	55	-51920.064	8.383
1413	Ba	91	56	-60264.029	19.748
1414	La	90	57	-66678.39	10.712
1415	Ce	89	58	-72013.891	8.58
1416	Pr	88	59	-75444.067	15.857
1417	Nd	87	60	-78146.748	1.388
1418	Pm	86	61	-79042.26	1.399
1419	Sm	85	62	-79266.354	1.372
1420	Eu	84	63	-77544.756	2.63
1421	Gd	83	64	-75356.945	1.965
1422	Tb	82	65	-70742.665	8.1
1423	Dy	81	66	-64196.038	8.849
1424	Ho	80	67	-55757.092	5.001
1425	Er	79	68	-46607.807	38.191
1426	Tm	78	69	-35974.4	6.839
1427	Cs	93	55	-46910.942	13.041
1428	Ba	92	56	-57593.735	63.079
1429	La	91	57	-62708.735	19.468
1430	Ce	90	58	-70398.408	11.195
1431	Pr	89	59	-72535.424	15.043
1432	Nd	88	60	-77407.996	2.127
1433	Pm	87	61	-76865.716	5.723
1434	Sm	86	62	-79336.264	1.367
1435	Eu	85	63	-76299.331	10.013
1436	Gd	84	64	-76269.329	1.554
1437	Tb	83	65	-70537.082	12.464
1438	Dy	82	66	-67859.55	8.724
1439	Ho	81	67	-57991.158	83.834
1440	Er	80	68	-51478.989	10.246
1441	Tm	79	69	-38765.027	10.246
1442	Ba	93	56	-53120.309	437.802
1443	La	92	57	-60219.913	200.262
1444	Ce	91	58	-66669.913	10.246
1445	Pr	90	59	-71039.366	9.874
1446	Nd	89	60	-74375.466	2.128
1447	Pm	88	61	-76064.256	2.267
1448	Sm	87	62	-77135.737	1.311
1449	Eu	86	63	-76441.112	3.951
1450	Gd	85	64	-75127.011	3.36
1451	Tb	84	65	-71488.669	3.667
1452	Dy	83	66	-67695.909	9.221
1453	Ho	82	67	-61646.578	11.99
1454	Er	81	68	-53741.615	27.945
1455	La	93	57	-56129.966	435.473
1456	Ce	92	58	-64846.854	11.697
1457	Pr	91	59	-68300.479	9.015
1458	Nd	90	60	-73679.755	1.289
1459	Pm	89	61	-73597.139	20.041
1460	Sm	88	62	-77051.139	1.274
1461	Eu	87	63	-74792.234	6.253
1462	Gd	86	64	-75763.934	6.076
1463	Tb	85	65	-71105.721	7.384
1464	Dy	84	66	-69309.6	4.348
1465	Ho	83	67	-61945.881	14.168
1466	Er	82	68	-57831.313	17.195
1467	La	94	57	-53310.333	435.473
1468	Ce	93	58	-61225.052	17.698
1469	Pr	92	59	-66779.63	11.651
1470	Nd	91	60	-70942.988	1.293
1471	Pm	90	61	-73386.063	4.653
1472	Sm	89	62	-74576.279	1.273
1473	Eu	88	63	-74652.854	1.325
1474	Gd	87	64	-74188.737	3.056
1475	Tb	86	65	-71623.504	4.137
1476	Dy	85	66	-68752.405	3.293
1477	Ho	84	67	-63622.738	8.302
1478	Er	83	68	-58266.284	16.47
1479	Tm	82	69	-50772.756	19.416
1480	Yb	81	70	-41542.342	300.492
1481	Pr	93	59	-63758.063	18.537
1482	Nd	92	60	-70149.407	24.485
1483	Pm	91	61	-71254.186	25.912
1484	Sm	90	62	-74762.603	1.212
1485	Eu	89	63	-72888.255	1.326
1486	Gd	88	64	-74706.916	1.206
1487	Tb	87	65	-70716.916	40.018
1488	Dy	86	66	-70117.873	4.624
1489	Ho	85	67	-63604.771	12.529
1490	Er	84	68	-60500.377	8.83
1491	Tm	83	69	-51720.273	54.027
1492	Yb	82	70	-46270.381	149.708
1493	Pr	94	59	-61568.463	11.882
1494	Nd	93	60	-67330.297	2.747
1495	Pm	92	61	-70647.824	9.066
1496	Sm	91	62	-72559.686	1.219
1497	Eu	90	63	-73367.222	1.33
1498	Gd	89	64	-72882.551	1.203
1499	Tb	88	65	-71313.338	3.995
1500	Dy	87	66	-69142.943	4.048
1501	Ho	86	67	-65012.103	5.094
1502	Er	85	68	-60468.604	9.321
1503	Tm	84	69	-53973.329	11.983
1504	Lu	82	71	-38372.844	150.034
1505	Pr	95	59	-58104.976	113.009
1506	Nd	94	60	-65824.976	52.642
1507	Pm	93	61	-68511.976	46.326
1508	Sm	92	62	-72455.176	1.462
1509	Eu	91	63	-71738.121	1.346
1510	Gd	90	64	-73705.954	1.197
1511	Tb	89	65	-70156.303	45.314
1512	Dy	88	66	-70393.907	7.445
1513	Ho	87	67	-64639.311	8.228
1514	Er	86	68	-62605.02	4.986
1515	Tm	85	69	-54427.131	14.412
1516	Yb	84	70	-49932.083	17.281
1517	Pr	96	59	-55415.268	17.198
1518	Nd	95	60	-62283.724	9.153
1519	Pm	94	61	-66939.931	4.718
1520	Sm	93	62	-70190.819	1.487
1521	Eu	92	63	-71818.092	1.401
1522	Gd	91	64	-72069.88	1.191
1523	Tb	90	65	-71250.05	9.849
1524	Dy	89	66	-69155.55	9.665
1525	Ho	88	67	-66039.539	17.474
1526	Er	87	68	-62209.189	6.098
1527	Tm	86	69	-56625.913	9.925
1528	Yb	85	70	-50502.608	16.6
1529	Lu	84	71	-42545.047	19.246
1530	Nd	96	60	-60473.644	200.033
1531	Pm	95	61	-64163.644	3.631
1532	Sm	94	62	-69360.43	8.546
1533	Eu	93	63	-70082.548	3.59
1534	Gd	92	64	-72534.914	1.19
1535	Tb	91	65	-70090.797	3.814
1536	Dy	90	66	-70528.964	1.194
1537	Ho	89	67	-65478.964	60.012
1538	Er	88	68	-64211.709	24.629
1539	Tm	87	69	-56834.55	14.279
1540	Yb	86	70	-53265.721	9.308
1541	Lu	85	71	-43699.544	54.122
1542	Hf	84	72	-37816.896	149.757
1543	Nd	97	60	-56461.543	24.918
1544	Pm	96	61	-62297.043	7.006
1545	Sm	95	62	-66677.577	4.433
1546	Eu	94	63	-69458.908	4.259
1547	Gd	93	64	-70823.473	1.189
1548	Tb	92	65	-70763.43	1.222
1549	Dy	91	66	-69424.558	5.177
1550	Ho	90	67	-66832.832	23.469
1551	Er	89	68	-63413.639	26.505
1552	Tm	88	69	-58709.273	27.945
1553	Yb	87	70	-53421.898	10.92
1554	Lu	86	71	-46440.523	12.078
1555	Ta	84	73	-29593.33	150.069
1556	Pm	97	61	-59089.209	13.453
1557	Sm	96	62	-65250.243	4.892
1558	Eu	95	63	-67255.188	10.255
1559	Gd	94	64	-70689.546	1.189
1560	Tb	93	65	-69470.668	1.401
1561	Dy	92	66	-70407.349	2.365
1562	Ho	91	67	-66187.593	27.108
1563	Er	90	68	-65303.808	25.219
1564	Tm	89	69	-58703.194	25.219
1565	Yb	88	70	-56010.237	7.994
1566	Lu	87	71	-47212.19	15.125
1567	Hf	86	72	-42102.39	17.494
1568	Pm	98	61	-56554.28	10.039
1569	Sm	97	62	-62207.775	5.934
1570	Eu	96	63	-66043.285	4.325
1571	Gd	95	64	-68561.436	1.192
1572	Tb	94	65	-69532.363	1.256
1573	Dy	93	66	-69167.134	1.528
1574	Ho	92	67	-67329.534	3.088
1575	Er	91	68	-64561.034	3.679
1576	Tm	90	69	-60570.398	27.945
1577	Yb	89	70	-55838.606	17.794
1578	Lu	88	71	-49708.604	37.663
1579	Hf	87	72	-42852.6	16.813
1580	Ta	86	73	-34439.148	19.689
1581	Sm	98	62	-60234.793	5.934
1582	Eu	97	63	-63480.463	9.501
1583	Gd	96	64	-67941.741	1.278
1584	Tb	95	65	-67836.257	1.262
1585	Dy	94	66	-69672.73	0.772
1586	Ho	93	67	-66382.73	15.02
1587	Er	92	68	-66064.228	24.254
1588	Tm	91	69	-60302.028	34.262
1589	Yb	90	70	-58162.706	7.233
1590	Lu	89	71	-50269.937	56.821
1591	Hf	88	72	-45938.943	9.541
1592	Ta	87	73	-35823.695	54.316
1593	W	86	74	-29326.455	149.827
1594	Sm	99	62	-56671.962	6.817
1595	Eu	98	63	-61791.524	10.399
1596	Gd	97	64	-65505.824	1.622
1597	Tb	96	65	-67461.589	1.35
1598	Dy	95	66	-68055.801	0.768
1599	Ho	94	67	-67197.27	2.242
1600	Er	93	68	-65201.608	8.78
1601	Tm	92	69	-61898.708	27.945
1602	Yb	91	70	-57839.4	15.354
1603	Lu	90	71	-52562.344	27.945
1604	Hf	89	72	-46314.672	22.551
1605	Ta	88	73	-38778.997	24.382
1606	Re	86	75	-20840.203	149.922
1607	Eu	99	63	-58703.401	35.229
1608	Gd	98	64	-64280.401	4.009
1609	Tb	97	65	-65675.958	36.372
1610	Dy	96	66	-68181.478	0.767
1611	Ho	95	67	-66041.541	3.166
1612	Er	94	68	-66334.519	0.822
1613	Tm	93	69	-61477.791	26.06
1614	Yb	92	70	-59826.347	15.359
1615	Lu	91	71	-52831.753	75.036
1616	Hf	90	72	-49169.008	8.968
1617	Ta	89	73	-39780.194	52.238
1618	W	88	74	-33999.207	17.658
1619	Eu	100	63	-56484.886	65.544
1620	Gd	99	64	-61313.886	8.426
1621	Tb	98	65	-64596.071	4.073
1622	Dy	97	66	-66381.17	0.765
1623	Ho	96	67	-66378.335	0.765
1624	Er	95	68	-65167.723	4.639
1625	Tm	94	69	-62728.723	5.524
1626	Yb	93	70	-59299.094	15.364
1627	Lu	92	71	-54791.409	27.945
1628	Hf	91	72	-49263.682	24.778
1629	Ta	90	73	-42534.629	38.061
1630	W	89	74	-34908.193	52.751
1631	Re	88	75	-26002.244	18.534
1632	Tb	99	65	-62077.965	100.003
1633	Dy	98	66	-65967.965	0.767
1634	Ho	97	67	-64981.503	1.528
1635	Er	96	68	-65942.89	0.775
1636	Tm	95	69	-61904.035	24.394
1637	Yb	94	70	-61017.418	15.369
1638	Lu	93	71	-54642.37	27.945
1639	Hf	92	72	-51818.505	15.82
1640	Ta	91	73	-43282.8	27.945
1641	W	90	74	-38235.759	9.674
1642	Re	89	75	-27472.436	54.555
1643	Os	88	76	-20422.106	149.919
1644	Dy	99	66	-63612.606	0.769
1645	Ho	98	67	-64899.006	1.01
1646	Er	97	68	-64521.61	0.964
1647	Tm	96	69	-62929.621	1.671
1648	Yb	95	70	-60295.382	26.539
1649	Lu	94	71	-56442.242	26.539
1650	Hf	93	72	-51635.507	27.945
1651	Ta	92	73	-45847.853	13.863
1652	W	91	74	-38861.022	24.977
1653	Re	90	75	-30659.776	23.594
1654	Tb	101	65	-57884.789	70.005
1655	Dy	100	66	-62584.789	0.867
1656	Ho	99	67	-63071.329	1.01
1657	Er	98	68	-64926.042	1.165
1658	Tm	97	69	-61888.375	11.606
1659	Yb	96	70	-61595.74	7.101
1660	Lu	95	71	-56020.981	29.808
1661	Hf	94	72	-53858.983	27.945
1662	Ta	93	73	-46097.775	27.945
1663	W	92	74	-41888.031	9.478
1664	Re	91	75	-31893.478	72.31
1665	Os	90	76	-25431.517	17.966
1666	Dy	101	66	-59930.626	60.228
1667	Ho	100	67	-62280.626	5.234
1668	Er	99	68	-63291.18	1.166
1669	Tm	98	69	-62543.641	1.298
1670	Yb	97	70	-60590.576	3.981
1671	Lu	96	71	-57501.125	31.671
1672	Hf	95	72	-53467.756	27.945
1673	Ta	94	73	-48351.059	27.945
1674	W	93	74	-42098.058	18.261
1675	Os	91	76	-26501.993	72.682
1676	Ir	90	77	-17072.44	18.346
1677	Dy	102	66	-58559.566	140.009
1678	Ho	101	67	-60061.171	30.023
1679	Er	100	68	-62991.171	1.168
1680	Tm	99	69	-61312.921	1.709
1681	Yb	98	70	-61581.901	1.195
1682	Lu	97	71	-57067.85	39.266
1683	Hf	96	72	-55360.552	27.945
1684	Ta	95	73	-48393.908	27.945
1685	W	94	74	-44893.109	13.271
1686	Re	93	75	-35794.885	30.821
1687	Os	92	76	-29995.213	9.904
1688	Ir	91	77	-18666.226	55.216
1689	Pt	90	78	-11007.46	149.951
1690	Dy	103	66	-55597.177	300.67
1691	Ho	102	67	-58797.177	20.06
1692	Er	101	68	-60923.104	1.179
1693	Tm	100	69	-61275.212	0.812
1694	Yb	99	70	-60377.563	1.205
1695	Lu	98	71	-58084.563	3.233
1696	Hf	97	72	-54716.889	27.945
1697	Ta	96	73	-50290.43	27.945
1698	W	95	74	-44917.873	15.436
1699	Re	94	75	-38409.232	11.374
1700	Os	93	76	-30722.691	25.167
1701	Ir	92	77	-22093.839	23.308
1702	Ho	103	67	-56238.681	50.024
1703	Er	102	68	-60108.681	1.546
1704	Tm	101	69	-59795.853	0.801
1705	Yb	100	70	-60763.919	0.01
1706	Lu	99	71	-57306.224	16.843
1707	Hf	98	72	-56253.854	27.945
1708	Ta	97	73	-50137.665	27.945
1709	W	96	74	-47290.832	13.195
1710	Re	95	75	-38913.193	23.109
1711	Os	94	76	-33926.247	9.773
1712	Pt	92	78	-16299.193	18.247
1713	Ho	104	67	-54518.956	600.002
1714	Er	103	68	-57718.956	1.557
1715	Tm	102	69	-59210.298	0.972
1716	Yb	101	70	-59306.81	0.013
1717	Lu	100	71	-57828.395	1.862
1718	Hf	99	72	-55431.345	28.876
1719	Ta	98	73	-51720.273	27.945
1720	W	97	74	-47086.09	27.945
1721	Re	96	75	-41250.28	27.945
1722	Os	95	76	-34301.942	17.823
1723	Ir	94	77	-26412.025	38.466
1724	Pt	93	78	-17469.702	72.747
1725	Au	92	79	-7562.295	20.713
1726	Er	104	68	-56483.612	4.008
1727	Tm	103	69	-57374.379	5.503
1728	Yb	102	70	-59255.446	0.014
1729	Lu	101	71	-56735.98	2.336
1730	Hf	100	72	-56402.226	24.428
